LOCATION,YELP RATING,YELP REVIEWS,GOOGLE RATING,GOOGLE REVIEWS,FB RATING,FB REVIEWS
Altamonte Springs,4,29,4.4,407,4,16
Downtown Orlando,3.5,62,4.4,204,2,4
Donald Ross,3.5,14,4.4,60,2,4
Indiantown,3.5,10,4.5,47,1,1
Northlake,3.5,15,4.3,184,5,1
West Palm,3,71,4.1,57,4.4,62
