LOCATION,YELP RATING,YELP REVIEWS,GOOGLE RATING,GOOGLE REVIEWS,FB RATING,FB REVIEWS
Altamonte Springs,4.0,26,4.5,358,3.6,24
East Orlando,3.5,22,4.7,148,3.0,21
Downtown Orlando,3.5,58,4.4,189,3.1,7
Longwood,4.5,18,4.6,221,3.0,10
Oviedo,4.0,4,4.8,72,2.0,4
Winter Park,4.5,22,4.7,148,3.8,10
Donald Ross,2.5,8,4.5,56,2.0,4
Indiantown,3.0,9,4.8,42,1.0,1
Northlake,3.5,12,4.2,138,0,0
PGA,3.5,44,4.6,225,3.6,66
West Palm,3.0,66,4.1,179,4.4,86
Brookline,4.0,40,3.6,75,1.0,1
