LOCATION,YELP RATING,YELP REVIEWS,GOOGLE RATING,GOOGLE REVIEWS,FB RATING,FB REVIEWS
Altamonte Springs,4,32,4.4,463,3.6,29
Downtown Orlando,3.5,16,4.3,216,2.8,9
Donald Ross,4,10,4.3,66,2,4
Indiantown,3.5,,4.5,49,0,0
Northlake,3.5,74,4.4,227,5,1
West Palm,3,55,4,194,4.5,82
