LOCATION,YELP RATING,YELP REVIEWS,GOOGLE RATING,GOOGLE REVIEWS,FB RATING,FB REVIEWS
Altamonte Springs,3.5,,4.4,495,3.4,29
Downtown Orlando,3.5,,4.3,253,0,0
Donald Ross,4,,4.3,72,0,0
Indiantown,3.5,,4.4,64,0,0
Northlake,3.5,,4.4,276,5,1
West Palm,3,,4.0,195,4.5,79
