DEVICE,ITSWORTHMORE
iPhone SE (2nd Gen.),$350
iPhone 11 Pro Max,$820
iPhone 11 Pro,$740
iPhone 11,$533
iPhone XR,$415
iPhone XS Max,$595
iPhone XS,$540
iPhone X,$390
iPhone 8 Plus,$315
iPhone 8,$310
iPhone 7 Plus,$260
iPhone 7,>$160
iPhone SE,$83
iPhone 6S Plus,$155
iPhone 6S,$105
iPhone 6 Plus,$125
iPhone 6,$70
Galaxy S10 Lite,$250
Galaxy S20 Ultra 5G,$675
Galaxy S20 Plus 5G,$650
Galaxy S20 5G,>$475
Galaxy S10 5G,$420
Galaxy S10e,$290
Galaxy S10 Plus,$505
Galaxy S10,$390
Galaxy S8 Active,$130
Galaxy S9,$230
Galaxy S9 Plus,$235
Galaxy S8 Plus,$133
Galaxy S8,$130
Galaxy S7 Edge,$105
Galaxy S7,$70
Galaxy S6 Edge Plus,$85
Galaxy S6 Edge,$67
Galaxy S6,$82
Galaxy S5 Active,$50
Galaxy S5,$40
Galaxy S4 Active,$45
Galaxy S4,$25
Galaxy Note 20 Ultra 5G,$760
Galaxy Note 20 5G,$575
Galaxy Note 10 Plus 5G,$525
Galaxy Note 10 Plus,$505
Galaxy Note 10,$425
Galaxy Note 9,$295
Galaxy Note 8,$180
Galaxy Note 5,$90
Galaxy Note Edge,$65
Galaxy Note 4,$70
Galaxy Note 3,$55
iPad Pro 12.9 inch (4th Gen.),"$1,010"
iPad Pro 12.9 inch (3rd Gen.),$830
iPad Pro 12.9 inch (2nd Gen.),$470
iPad Pro 12.9 inch (1st Gen.),$355
iPad Pro 11 inch (2nd Gen.),$830
iPad Pro 11 inch (1st Gen.),$695
iPad Pro (10.5 inch),$365
iPad Pro (9.7 inch),$250
iPad Air (3rd Gen.),$335
iPad Air (2nd Gen.),$150
iPad Air (1st Gen.),$118
iPad Mini (5th Gen.),$330
iPad Mini (4th Gen.),$185
iPad Mini (3rd Gen.),$112
iPad Mini (2nd Gen.),$95
iPad Mini (1st Gen.),$42
iPad (7th Gen.),$245
iPad (6th Gen.),$150
iPad (5th Gen.),$135
iPad (4th Gen.),$85
iPad (3rd Gen.),$68
iPad (2nd Gen.),$48
