DEVICE,ITSWORTHMORE,,
iPhone SE (2nd Gen.),$250.00,315,$65.00
iPhone 11 Pro Max,$715.00,820,$105.00
iPhone 11 Pro,$655.00,740,$85.00
iPhone 11,$430.00,533,$103.00
iPhone XR,$390.00,415,$25.00
iPhone XS Max,$505.00,405,-$100.00
iPhone XS,$480.00,540,$60.00
iPhone X,$360.00,390,$30.00
iPhone 8 Plus,$305.00,315,$10.00
iPhone 8,$315.00,310,-$5.00
iPhone 7 Plus,$235.00,317,$82.00
iPhone 7,$150.00,155,$5.00
iPhone SE,$80.00,55,-$25.00
iPhone 6S Plus,$155.00,155,$0.00
iPhone 6S,$105.00,105,$0.00
iPhone 6 Plus,$125.00,125,$0.00
iPhone 6,$70.00,70,$0.00
Galaxy S10 Lite,$250.00,250,$0.00
Galaxy S20 Ultra 5G,$675.00,760,$85.00
Galaxy S20 Plus 5G,$640.00,620,-$20.00
Galaxy S20 5G,$475.00,475,$0.00
Galaxy S10 5G,$420.00,420,$0.00
Galaxy S10e,$290.00,290,$0.00
Galaxy S10 Plus,$505.00,505,$0.00
Galaxy S10,$365.00,365,$0.00
Galaxy S8 Active,$130.00,130,$0.00
Galaxy S9,$235.00,235,$0.00
Galaxy S9 Plus,$245.00,245,$0.00
Galaxy S8 Plus,$133.00,133,$0.00
Galaxy S8,$130.00,130,$0.00
Galaxy S7 Edge,$105.00,105,$0.00
Galaxy S7,$70.00,,-$70.00
Galaxy S6 Edge Plus,$85.00,,-$85.00
Galaxy S6 Edge,$67.00,,-$67.00
Galaxy S6,$82.00,,-$82.00
Galaxy S5 Active,$50.00,,-$50.00
Galaxy S5,$40.00,,-$40.00
Galaxy S4 Active,$45.00,,-$45.00
Galaxy S4,$25.00,,-$25.00
Galaxy Note 20 Ultra 5G,$760.00,760,$0.00
Galaxy Note 20 5G,$575.00,575,$0.00
Galaxy Note 10 Plus 5G,$525.00,525,$0.00
Galaxy Note 10 Plus,$505.00,505,$0.00
Galaxy Note 10,$425.00,425,$0.00
Galaxy Note 9,$295.00,295,$0.00
Galaxy Note 8,$180.00,180,$0.00
Galaxy Note 5,$90.00,,-$90.00
Galaxy Note Edge,$65.00,,-$65.00
Galaxy Note 4,$70.00,,-$70.00
Galaxy Note 3,$55.00,,-$55.00
iPad Pro 12.9 inch (4th Gen.),$960.00,990,$30.00
iPad Pro 12.9 inch (3rd Gen.),$830.00,830,$0.00
iPad Pro 12.9 inch (2nd Gen.),$475.00,475,$0.00
iPad Pro 12.9 inch (1st Gen.),$355.00,355,$0.00
iPad Pro 11 inch (2nd Gen.),$830.00,830,$0.00
iPad Pro 11 inch (1st Gen.),$695.00,695,$0.00
iPad Pro (10.5 inch),$365.00,325,-$40.00
iPad Pro (9.7 inch),$250.00,256.5,$6.50
iPad Air (3rd Gen.),$335.00,335,$0.00
iPad Air (2nd Gen.),$160.00,150,-$10.00
iPad Air (1st Gen.),$118.00,118,$0.00
iPad Mini (5th Gen.),$340.00,330,-$10.00
iPad Mini (4th Gen.),$180.00,185,$5.00
iPad Mini (3rd Gen.),$132.00,112,-$20.00
iPad Mini (2nd Gen.),$105.00,95,-$10.00
iPad Mini (1st Gen.),$42.00,42,$0.00
iPad (8th Gen.),$285.00,,-$285.00
iPad (7th Gen.),$250.00,245,-$5.00
iPad (6th Gen.),$177.00,165,-$12.00
iPad (5th Gen.),$165.00,150,-$15.00
iPad (4th Gen.),$85.00,85,$0.00
iPad (3rd Gen.),$68.00,68,$0.00
iPad (2nd Gen.),$48.00,48,$0.00
