LOCATION,YELP RATING,YELP REVIEWS,GOOGLE RATING,GOOGLE REVIEWS,FB RATING,FB REVIEWS
Altamonte Springs,4.5,24,4.5,321,3.6,23
East Orlando,3.5,20,4.4,168,3.3,20
Downtown Orlando,3.5,54,4.4,176,3.1,7
Longwood,4.5,17,4.6,201,3.2,9
Millenia,4.0,13,4.6,124,5,10
Oviedo,5.0,2,4.8,set,0,0
Winter Park,4.0,21,4.8,set,3.8,10
Donald Ross,2.5,8,4.4,43,2.3,3
Indiantown,2.5,7,4.6,27,0,0
Northlake,3.5,12,4.2,set,0,0
PGA,3.5,44,4.5,202,3.8,61
West Palm,2.5,57,4.1,set,4.5,87
Brookline,4.0,38,4.1,set,0,0
