LOCATION,YELP RATING,YELP REVIEWS,GOOGLE RATING,GOOGLE REVIEWS,FB RATING,FB REVIEWS
Altamonte Springs,4.5,25,4.5,343,3.6,24
East Orlando,3,21,4.3,170,3.3,20
Downtown Orlando,3.5,55,4.4,181,3.1,7
Longwood,4.5,19,4.6,207,3,10
Oviedo,5,2,4.8,62,0,0
Winter Park,4.5,22,4.8,22,3.8,10
Donald Ross,3,7,4.5,46,2.3,3
Indiantown,2,8,4.7,36,0,0
Northlake,3.5,12,4.2,120,0,0
PGA,3.5,44,4.6,214,3.7,61
West Palm,2.5,63,4.1,178,4.5,87
Brookline,4.5,41,4,41,0,0
