LOCATION,YELP RATING,YELP REVIEWS,GOOGLE RATING,GOOGLE REVIEWS,FB RATING,FB REVIEWS
Altamonte Springs,3.5,,4.4,spa,0,0
Downtown Orlando,3.5,,4.4,spa,0,0
Donald Ross,4,,4.3,pan,0,0
Indiantown,4,,4.4,pan,0,0
Northlake,3.5,,4.5,spa,0,0
West Palm,3,,4.1,spa,0,0
