LOCATION,YELP RATING,YELP REVIEWS,GOOGLE RATING,GOOGLE REVIEWS,FB RATING,FB REVIEWS
Donald Ross,4,18,4.3,75,2.3,3
Northlake,3.5,27,4.6,351,5,1
