LOCATION,YELP RATING,YELP REVIEWS,GOOGLE RATING,GOOGLE REVIEWS,FB RATING,FB REVIEWS
Donald Ross,4,0,4.3,75,0,0
Northlake,3.5,0,4.6,350,0,0
