LOCATION,YELP RATING,YELP REVIEWS,GOOGLE RATING,GOOGLE REVIEWS,FB RATING,FB REVIEWS
Donald Ross,4,0,4.3,74,0,0
Northlake,3.5,0,4.5,353,5,1
