LOCATION,YELP RATING,YELP REVIEWS,GOOGLE RATING,GOOGLE REVIEWS,FB RATING,FB REVIEWS
Altamonte Springs,4.5,25,4.5,350,3.6,24
East Orlando,3.5,22,4.3,170,3.2,19
Downtown Orlando,3.5,56,4.4,187,3.1,7
Longwood,4.5,18,4.6,210,3,10
Oviedo,5,2,4.8,70,0,0
Winter Park,4.5,22,4.7,147,3.8,10
Donald Ross,2,7,4.5,48,2,4
Indiantown,2.5,7,4.7,37,0,0
Northlake,3.5,12,4.2,130,0,0
PGA,3.5,46,4.6,216,3.7,63
West Palm,2.5,64,4.1,179,4.5,87
Brookline,4,44,3.8,70,1,1
