LOCATION,YELP RATING,YELP REVIEWS,GOOGLE RATING,GOOGLE REVIEWS,FB RATING,FB REVIEWS
Altamonte Springs,4.5,25,4.5,337,3.6,23
East Orlando,,20,4.4,169,3.3,20
Downtown Orlando,3.5,55,4.4,177,3.1,7
Longwood,4.5,18,4.6,202,3.2,9
Oviedo,5.0,2,4.8,set,0,0
Winter Park,4.5,22,4.8,22,3.8,10
Donald Ross,2.0,7,4.5,46,2.3,3
Indiantown,3.0,9,4.7,31,0,0
Northlake,3.5,12,4.1,set,0,0
PGA,3.5,44,4.5,210,3.8,60
West Palm,3.0,62,4.1,set,4.5,87
Brookline,4.0,39,4.1,40,0,0
