LOCATION,YELP RATING,YELP REVIEWS,GOOGLE RATING,GOOGLE REVIEWS,FB RATING,FB REVIEWS
Altamonte Springs,4.5,25,4.5,347,3.6,24
East Orlando,3.5,23,4.3,170,3.2,19
Downtown Orlando,3.5,57,4.4,184,3.1,7
Longwood,4.5,18,4.6,207,3,10
Oviedo,5,2,4.8,65,0,0
Winter Park,4.5,22,4.8,145,3.8,10
Donald Ross,2.5,8,4.5,47,2,4
Indiantown,3,9,4.7,37,0,0
Northlake,3.5,12,4.2,126,0,0
PGA,3.5,44,4.6,215,3.8,62
West Palm,3,65,4.1,178,4.5,88
Brookline,4,37,4,66,0,0
